City,AQI,PM2.5,PM10,O3,NO2,SO2,CO,Latitude,Longitude,Time
"IITH Kandi, Hyderabad, India",72,72,66,17.4,3,3.9,3.5,17.585705,78.126199,2024-05-04 15:00:00
"Bardowali, Agartala, India",146,146,83,3.4,2.8,12.4,4.3,23.8175497,91.2726974,2024-05-04 18:00:00
"Sanjay Palace, Agra, India",56,38,56,9.5,10.5,9,N/A,27.19865833,78.00598056,2024-05-04 18:00:00
"Rajendra Nagar, Bareilly, India",57,56,57,2.6,1,19.5,2.9,28.38910936,79.42963708,2024-05-04 18:00:00
"Yamunapuram, Bulandshahr, India",139,139,76,42.2,27.8,13.4,8.1,28.406963,77.849831,2024-05-04 18:00:00
"Sanjay Nagar, Ghaziabad, India",158,158,93,44.4,18,5.8,7.9,28.685382,77.453839,2024-05-04 18:00:00
"Madan Mohan Malaviya University of Technology, Gorakhpur, India",129,129,75,27.6,4.2,15.3,3.8,26.730136,83.433859,2024-05-04 18:00:00
"Shivaji Nagar, Jhansi, India",93,93,50,24.3,8.4,8.1,4,25.4547,78.6039,2024-05-04 18:00:00
"FTI Kidwai Nagar, Kanpur, India",129,129,91,4.7,6.5,10.5,6,26.428282,80.327067,2024-05-04 18:00:00
"B R Ambedkar University, Lucknow, India",150,150,93,27.2,4.2,14.1,4.6,26.766433,80.927299,2024-05-04 17:00:00
"Omex Eternity, Vrindavan, India",110,110,92,10.3,1,17.1,5.4,27.571409,77.655757,2024-05-04 18:00:00
"Pallavpuram Phase 2, Meerut, India",125,114,125,21,18.7,8.8,4.8,29.06351,77.709723,2024-05-04 18:00:00
"Jigar Colony, Moradabad, India",64,61,64,23.5,7,4,6.6,28.856664,78.772638,2024-05-04 18:00:00
"New Mandi, Muzaffarnagar, India",149,149,108,18.9,10.2,7,7.5,29.4723508,77.7194031,2024-05-04 18:00:00
"Maldahiya, Varanasi, India",56,56,27,10.4,0.7,10.4,2.2,25.32393,82.99687,2024-05-04 18:00:00
"Doon University, Dehradun, India",75,75,63,45.9,0.4,1.6,2.9,30.269444,78.044167,2024-05-04 18:00:00
"Flag Pole, Woodstock School, Mussoorie, India, India",-,N/A,N/A,N/A,N/A,N/A,N/A,30.455449,78.100618,
"Asansol Court Area, Asansol, India",189,189,114,19.6,11.7,3.4,6.4,23.685297,86.945968,2024-05-04 18:00:00
"Ghusuri, Howrah, India",154,154,85,3.8,6.8,2.2,2.4,22.611968,88.347422,2024-05-04 18:00:00
"Rabindra Bharati University, Kolkata, India",66,66,60,32.8,8.5,4.1,4.6,22.627847,88.380669,2024-05-04 18:00:00
"Bidhannagar, Kolkata, India",79,79,59,13.3,7.3,5.4,4.1,22.58157048,88.41002457,2024-05-04 18:00:00
"Sidhu Kanhu Indoor Stadium, Durgapur, India",163,163,93,24.8,16.3,21,11.1,23.5404352,87.2892225,2024-05-04 18:00:00
"Victoria, Kolkata, India",89,89,65,9,9.4,4.2,7.5,22.5448082,88.3403691,2024-05-04 18:00:00
"Rabindra Bharati University, Kolkata, India",66,66,60,32.8,8.5,4.1,4.6,22.627847,88.380669,2024-05-04 18:00:00
"Kolkata US Consulate, India (कोलकाता अमेरिकी वाणिज्य दूतावास)",99,99,N/A,N/A,N/A,N/A,N/A,22.5626297,88.36303711,2024-05-04 18:00:00
"Rabindra Bharati University, Kolkata, India",66,66,60,32.8,8.5,4.1,4.6,22.627847,88.380669,2024-05-04 18:00:00
"Ward-32 Bapupara, Siliguri, India",90,90,68,19.6,18.5,3.5,4,26.6883049,88.412668,2024-05-04 18:00:00
